Symbol,Must Sell,Strong Sell,Sell,Flat,Buy,Strong Buy,Must Buy,Total
IEX,2,7,42,141,42,12,0,246
IFF,6,18,46,109,48,18,1,246
INCY,2,19,48,112,47,12,6,246
INTC,8,33,45,85,41,25,9,246
INTU,3,20,44,92,51,32,4,246
INVH,0,15,42,128,47,14,0,246
IPG,2,18,46,104,53,22,1,246
IP,2,18,42,113,49,18,4,246
IQV,3,21,47,107,42,24,2,246
IRM,3,13,47,93,56,30,4,246
IR,2,20,43,104,52,23,2,246
ISRG,0,21,46,97,51,25,6,246
ITW,0,10,40,133,52,11,0,246
IT,2,11,44,106,61,16,6,246
IVZ,5,25,38,98,41,36,3,246
JBHT,2,21,49,103,52,18,1,246
JBL,7,17,40,89,47,37,9,246
JCI,1,17,40,114,56,15,3,246
JKHY,2,10,41,129,57,6,1,246
JNJ,0,2,40,155,45,4,0,246
JPM,1,16,35,117,63,13,1,246
J,0,16,45,116,52,16,1,246
KDP,0,9,37,153,39,8,0,246
KEYS,4,16,42,112,51,18,3,246
KEY,6,21,49,91,48,23,8,246
KHC,1,9,48,128,48,11,1,246
KIM,0,16,42,112,51,22,3,246
KKR,4,24,38,90,54,23,13,246
KLAC,9,21,40,80,45,34,17,246
KMB,1,9,31,163,36,6,0,246
KMI,3,9,44,112,61,15,2,246
KMX,5,30,50,86,42,23,10,246
KO,0,2,32,163,43,6,0,246
KR,0,10,41,130,45,17,3,246
KVUE,0,8,22,52,13,8,1,104
K,0,6,29,171,33,6,1,246
LDOS,4,13,41,118,55,13,2,246
LEN,2,26,46,88,49,30,5,246
LHX,0,12,53,126,36,15,4,246
LH,0,13,40,128,51,13,1,246
LII,1,21,41,102,49,29,3,246
LIN,0,2,49,138,49,7,1,246
LKQ,3,7,47,116,55,18,0,246
LLY,3,17,42,90,60,28,6,246
LMT,1,12,37,149,37,5,5,246
LNT,1,6,52,128,50,9,0,246
LOW,0,17,44,106,51,27,1,246
LRCX,11,26,40,74,41,38,16,246
LULU,9,32,36,82,48,34,5,246
LUV,4,26,49,94,34,33,6,246
LVS,5,31,50,83,36,32,9,246
LW,9,13,32,121,47,22,2,246
LYB,2,21,46,108,47,22,0,246
LYV,7,17,46,90,48,29,9,246
L,0,7,31,151,51,6,0,246
MAA,0,12,44,121,54,15,0,246
MAR,2,19,42,105,52,21,5,246
MAS,1,15,52,105,46,26,1,246
MA,1,14,38,123,52,17,1,246
MCD,0,7,31,163,40,5,0,246
MCHP,8,18,57,77,50,28,8,246
MCK,2,6,35,128,57,16,2,246
MCO,1,9,49,108,63,14,2,246
MDLZ,0,7,38,151,42,8,0,246
MDT,1,9,49,133,41,13,0,246
META,5,23,43,86,46,33,10,246
MET,3,14,33,118,60,18,0,246
MGM,6,33,42,78,41,38,8,246
MHK,2,29,53,88,33,33,8,246
MKC,1,16,41,129,50,8,1,246
MKTX,8,23,47,102,41,19,6,246
MLM,0,19,50,99,56,18,4,246
MMC,0,7,31,146,55,7,0,246
MMM,2,15,44,121,48,14,2,246
MNST,1,9,42,137,43,13,1,246
MOH,4,22,46,98,45,27,4,246
MOS,6,36,35,78,48,30,13,246
MO,0,11,31,146,45,13,0,246
MPC,5,18,42,80,66,33,2,246
MPWR,12,28,40,69,44,36,17,246
MRK,1,9,47,130,46,11,2,246
MRNA,26,39,27,57,34,31,32,246
MSCI,3,16,46,105,49,22,5,246
MSFT,0,10,49,116,47,20,4,246
MSI,0,9,39,132,51,14,1,246
MS,2,19,45,89,68,18,5,246
MTB,3,23,43,104,41,30,2,246
MTCH,10,36,39,71,47,34,9,246
MTD,2,18,48,105,53,16,4,246
MU,12,28,42,68,42,36,18,246
NCLH,20,47,27,52,34,36,30,246
NDAQ,1,11,38,131,50,15,0,246
NDSN,3,11,46,119,54,13,0,246
NEE,3,21,39,115,49,18,1,246
NEM,3,21,49,81,61,26,5,246
NFLX,6,22,37,91,46,33,11,246
NI,1,10,29,151,47,8,0,246
NKE,3,19,61,93,41,24,5,246
NOC,2,10,42,136,40,12,4,246
NOW,8,21,43,75,54,34,11,246
NRG,5,24,42,84,52,33,6,246
NSC,0,15,43,132,36,19,1,246
NTAP,5,20,36,92,60,29,4,246
NTRS,2,14,53,107,46,20,4,246
NUE,8,28,34,86,51,26,13,246
NVDA,13,27,35,56,47,41,27,246
NVR,0,14,49,105,54,23,1,246
NWSA,2,16,43,117,40,24,4,246
NWS,2,15,39,125,36,22,7,246
NXPI,1,31,46,79,45,41,3,246
ODFL,5,21,43,97,49,26,5,246
OKE,4,17,36,107,54,25,3,246
OMC,2,10,42,130,46,13,3,246
ON,10,28,42,72,39,43,12,246
ORCL,4,19,34,103,56,23,7,246
ORLY,1,6,47,122,57,10,3,246
OTIS,0,7,40,141,53,5,0,246
OXY,5,33,46,81,36,28,17,246
O,0,9,37,137,53,10,0,246
PANW,3,25,43,87,50,25,13,246
PARA,12,27,48,70,43,30,16,246
PAYC,7,32,40,76,47,31,13,246
PAYX,0,10,42,125,51,17,1,246
PCAR,0,12,53,111,57,10,3,246
PCG,3,14,44,118,40,23,4,246
PEG,1,7,45,128,55,10,0,246
PEP,0,4,40,158,40,4,0,246
PFE,0,17,47,112,56,12,2,246
PFG,2,14,40,114,57,17,2,246
PGR,1,15,33,117,60,20,0,246
PG,0,5,33,173,31,4,0,246
PHM,3,21,49,87,49,31,6,246
PH,1,18,37,115,52,18,5,246
PKG,2,10,32,139,49,12,2,246
PLD,4,14,33,131,42,21,1,246
PLTR,23,40,21,39,34,48,29,234
PM,0,6,41,134,52,12,1,246
PNC,2,12,50,109,51,21,1,246
PNR,0,17,46,109,48,23,3,246
PNW,1,9,42,125,55,14,0,246
PODD,9,29,31,97,44,23,13,246
POOL,4,27,41,101,44,23,6,246
PPG,2,10,59,114,42,17,2,246
PPL,0,9,35,140,54,8,0,246
PRU,3,12,45,110,62,14,0,246
PSA,1,10,43,121,57,14,0,246
PSX,3,27,40,89,50,32,5,246
PTC,4,12,52,94,63,17,4,246
PWR,1,25,41,90,47,34,8,246
PYPL,8,32,41,85,46,27,7,246
QCOM,2,33,35,90,53,27,6,246
RCL,16,28,30,70,42,35,25,246
REGN,4,20,39,108,58,15,2,246
REG,0,15,35,125,57,13,1,246
RF,3,17,52,88,57,23,6,246
RJF,2,15,41,114,49,22,3,246
RL,4,21,50,70,61,34,6,246
RMD,4,20,48,99,48,24,3,246
ROK,4,14,43,113,51,18,3,246
ROL,1,15,34,134,43,16,3,246
ROP,1,10,39,145,43,6,2,246
ROST,1,14,52,114,38,24,3,246
RSG,0,4,32,159,41,10,0,246
RTX,3,9,40,128,49,14,3,246
RVTY,3,20,57,92,46,25,3,246
SBAC,1,19,44,114,43,23,2,246
SBUX,2,17,39,122,43,21,2,246
SCHW,5,12,39,109,50,23,8,246
SHW,0,15,39,120,53,18,1,246
SJM,2,8,37,137,53,8,1,246
SLB,5,33,50,77,33,37,11,246
SMCI,21,33,29,60,32,31,40,246
SNA,2,8,47,116,58,14,1,246
SNPS,4,25,39,84,55,33,6,246
SOLV,1,5,11,21,11,6,3,58
SO,0,7,28,154,50,7,0,246
SPGI,0,18,31,132,51,12,2,246
SPG,1,14,47,109,46,25,4,246
SRE,2,7,43,132,50,11,1,246
STE,4,8,43,124,48,17,2,246
STLD,9,31,39,69,49,37,12,246
STT,4,18,45,96,54,27,2,246
STX,8,21,41,73,66,26,11,246
STZ,1,13,41,134,45,11,1,246
SWKS,5,22,48,95,48,26,2,246
SWK,3,25,54,95,40,26,3,246
SW,1,3,12,14,8,4,2,44
SYF,6,19,38,98,43,36,6,246
SYK,0,10,43,130,47,13,3,246
SYY,1,8,54,120,41,21,1,246
TAP,1,11,51,117,45,19,2,246
TDG,1,10,42,122,47,22,2,246
TDY,1,13,47,118,54,12,1,246
TECH,5,24,48,95,48,19,7,246
TEL,1,13,44,118,52,18,0,246
TER,11,28,45,73,40,40,9,246
TFC,3,22,49,91,49,30,2,246
TGT,2,20,51,104,44,19,6,246
TJX,1,7,44,130,49,14,1,246
TKO,4,17,45,100,43,31,6,246
TMO,1,15,38,122,57,10,3,246
TMUS,0,7,41,138,43,15,2,246
TPL,12,27,47,68,43,31,18,246
TPR,2,27,38,81,50,38,10,246
TRGP,4,20,37,92,56,32,5,246
TRMB,3,20,43,105,49,19,7,246
TROW,2,19,49,112,41,20,3,246
TRV,0,8,40,138,48,10,2,246
TSCO,1,17,45,95,68,18,2,246
TSLA,23,42,29,53,32,38,29,246
TSN,2,10,47,126,46,15,0,246
TTWO,2,22,39,108,44,25,6,246
TT,0,18,34,118,53,20,3,246
TXN,1,14,52,108,47,23,1,246
TXT,1,14,37,126,50,17,1,246
TYL,4,10,44,112,48,22,6,246
T,2,5,46,134,45,13,1,246
UAL,9,34,44,67,37,39,16,246
UBER,11,26,40,75,49,29,16,246
UDR,0,14,44,114,56,18,0,246
UHS,3,17,48,98,61,15,4,246
ULTA,4,19,45,93,54,24,7,246
UNH,3,8,52,117,52,10,4,246
UNP,0,11,42,131,49,12,1,246
UPS,6,13,33,131,46,15,2,246
URI,6,26,40,77,50,39,8,246
USB,5,17,47,101,52,21,3,246
VICI,1,7,42,133,48,15,0,246
VLO,5,35,37,73,47,43,6,246
VLTO,0,2,11,46,19,5,0,83
VMC,2,11,46,116,48,22,1,246
VRSK,1,10,40,129,53,12,1,246
VRSN,2,8,41,132,52,10,1,246
VRTX,4,7,31,128,59,16,1,246
VST,13,21,26,94,43,33,16,246
VTRS,6,18,54,96,47,22,3,246
VTR,0,14,44,114,55,15,4,246
VZ,1,8,46,136,43,12,0,246
V,0,12,35,133,55,8,3,246
WAB,0,14,49,110,56,15,2,246
WAT,2,22,42,100,54,25,1,246
WBA,8,25,56,93,33,24,7,246
WBD,12,33,47,60,41,37,16,246
WDAY,5,23,48,80,47,35,8,246
WDC,11,33,41,71,39,34,17,246
WEC,0,9,34,151,45,7,0,246
WELL,1,9,42,122,53,18,1,246
WFC,5,18,40,93,64,24,2,246
WMB,1,11,39,123,52,20,0,246
WMT,1,6,30,149,49,10,1,246
WM,1,4,32,149,53,7,0,246
WRB,0,10,36,128,56,15,1,246
WSM,11,29,36,75,49,28,18,246
WST,6,19,47,102,46,22,4,246
WTW,3,6,40,139,47,9,2,246
WYNN,7,28,44,84,38,36,9,246
WY,2,13,52,122,39,16,2,246
XEL,2,8,36,139,52,9,0,246
XOM,2,15,42,115,50,20,2,246
XYL,4,10,47,117,48,19,1,246
YUM,0,5,40,146,42,12,1,246
ZBH,0,16,51,118,53,7,1,246
ZBRA,7,25,54,70,54,29,7,246
ZTS,2,19,38,117,52,17,1,246
Total,1729,8482,20761,54054,24294,10165,2311,121796
Percent,1.42%,6.96%,17.05%,44.38%,19.95%,8.35%,1.90%,100.00%
